"INDEKS","SMER","DUZINA_STUDIRANJA","POLOZENO_ISPITA","PROSEK"
"20060018","Profesor matematike i racunarstva","4","38","7.60"
"20060019","Numericka matematika i optimizacija","4","40","9.55"
"20060020","Profesor matematike i racunarstva","6","38","6.89"
"20060022","Profesor matematike i racunarstva","4","38","8.57"
"20060026","Racunarstvo i informatika","4","39","9.87"
"20060027","Statistika, aktuarska i finansijska matematika","13","40","6.90"
"20060028","Informatika","4","30","8.76"
"20060029","Statistika, aktuarska i finansijska matematika","4","41","9.63"
"20060030","Numericka matematika i optimizacija","4","40","9.50"
"20060031","Statistika, aktuarska i finansijska matematika","4","41","9.09"
"20060033","Numericka matematika i optimizacija","7","41","7.78"
"20060034","Statistika, aktuarska i finansijska matematika","5","41","8.53"
"20060037","Informatika","4","38","7.10"
"20060038","Teorijska matematika i primene","4","39","10.00"
"20060039","Racunarstvo i informatika","4","40","9.82"
"20060040","Statistika, aktuarska i finansijska matematika","4","40","9.62"
"20060041","Astrofizika","4","34","9.67"
"20060043","Informatika","4","34","7.17"
"20060044","Informatika","3","30","8.03"
"20060045","Profesor matematike i racunarstva","4","38","7.26"
"20060046","Astrofizika","4","34","9.17"
"20060047","Informatika","4","30","7.80"
"20060048","Informatika","3","30","8.70"
"20060049","Informatika","3","30","9.76"
"20060050","Informatika","4","38","7.63"
"20060051","Informatika","4","30","7.50"
"20060052","Profesor matematike i racunarstva","4","38","7.57"
"20060053","Statistika, aktuarska i finansijska matematika","4","41","8.80"
"20060059","Informatika","4","33","7.00"
"20060060","Informatika","4","30","6.86"
"20060063","Informatika","3","30","7.43"
"20060065","Informatika","3","30","7.96"
"20060066","Profesor matematike i racunarstva","5","40","7.80"
"20060067","Racunarstvo i informatika","4","40","7.17"
"20060068","Statistika, aktuarska i finansijska matematika","5","43","8.53"
"20060069","Profesor matematike i racunarstva","4","38","7.86"
"20060070","Statistika, aktuarska i finansijska matematika","4","41","9.19"
"20060073","Racunarstvo i informatika","4","40","8.35"
"20060074","Profesor matematike i racunarstva","4","38","7.36"
"20060075","Informatika","3","30","8.86"
"20060076","Profesor matematike i racunarstva","5","38","7.60"
"20060077","Racunarstvo i informatika","4","40","7.30"
"20060079","Informatika","3","30","8.06"
"20060081","Informatika","4","38","7.92"
"20060082","Informatika","4","30","7.10"
"20060083","Numericka matematika i optimizacija","5","42","8.00"
"20060085","Profesor matematike i racunarstva","4","38","8.26"
"20060087","Numericka matematika i optimizacija","5","41","9.09"
"20060088","Teorijska matematika i primene","5","40","8.77"
"20060089","Statistika, aktuarska i finansijska matematika","4","40","8.67"
"20060090","Informatika","3","30","9.20"
"20060091","Profesor matematike i racunarstva","5","38","7.36"
"20060093","Informatika","4","32","7.75"
"20060095","Informatika","3","30","9.40"
"20060097","Racunarstvo i informatika","4","40","9.82"
"20060099","Informatika","4","30","7.13"
"20060101","Racunarstvo i informatika","4","40","7.65"
"20060102","Informatika","4","30","6.53"
"20060103","Statistika, aktuarska i finansijska matematika","5","40","9.07"
"20060105","Informatika","3","30","8.50"
"20060107","Informatika","3","30","7.26"
"20060108","Racunarstvo i informatika","4","40","7.72"
"20060109","Racunarstvo i informatika","4","40","9.92"
"20060110","Racunarstvo i informatika","4","40","7.97"
"20060112","Profesor matematike i racunarstva","4","38","8.42"
"20060114","Teorijska matematika i primene","6","39","7.38"
"20060116","Profesor matematike i racunarstva","7","38","6.57"
"20060117","Racunarstvo i informatika","5","40","7.85"
"20060118","Informatika","3","30","7.40"
"20060123","Racunarstvo i informatika","5","40","7.62"
"20060126","Racunarstvo i informatika","4","40","9.90"
"20060127","Racunarstvo i informatika","4","39","10.00"
"20060128","Racunarstvo i informatika","5","40","7.40"
"20060129","Racunarstvo i informatika","5","40","7.42"
"20060133","Racunarstvo i informatika","5","40","7.15"
"20060134","Profesor matematike i racunarstva","4","38","8.26"
"20060135","Profesor matematike i racunarstva","4","38","7.65"
"20060139","Racunarstvo i informatika","4","40","7.40"
"20060140","Racunarstvo i informatika","4","39","9.51"
"20060142","Profesor matematike i racunarstva","4","38","7.76"
"20060143","Profesor matematike i racunarstva","4","38","7.76"
"20060144","Statistika, aktuarska i finansijska matematika","6","39","7.33"
"20060145","Racunarstvo i informatika","5","40","7.12"
"20060148","Profesor matematike i racunarstva","5","38","7.02"
"20060151","Profesor matematike i racunarstva","6","41","7.34"
"20060152","Teorijska matematika i primene","4","41","8.78"
"20060154","Numericka matematika i optimizacija","4","40","9.50"
"20060155","Statistika, aktuarska i finansijska matematika","5","41","7.26"
"20060157","Profesor matematike i racunarstva","7","38","6.86"
"20060158","Teorijska matematika i primene","4","39","9.53"
"20060159","Teorijska matematika i primene","4","40","9.85"
"20060160","Racunarstvo i informatika","7","40","7.40"
"20060162","Racunarstvo i informatika","4","39","9.74"
"20060163","Profesor matematike i racunarstva","7","38","7.81"
"20060164","Racunarstvo i informatika","7","40","7.57"
"20060165","Statistika, aktuarska i finansijska matematika","7","39","6.89"
"20060167","Profesor matematike i racunarstva","4","38","8.76"
"20060168","Racunarstvo i informatika","6","43","7.04"
"20060170","Statistika, aktuarska i finansijska matematika","4","40","8.52"
